Query,run1,run2,run3,avg,numResults,minRes,maxRes,Virtuoso,Recall
CD1,0.893,0.5,2.228,1.208,90,90,90,90,1.00
CD2,0.462,0.463,2.224,1.05,1,1,1,1,1.00
CD3,81.689,16.044,231.726,109.82,2,2,2,2,1.00
CD4,11.384,0.872,10.457,7.572,1,1,1,1,1.00
CD5,63.737,3.703,5.35,24.264,2,2,2,2,1.00
CD6,246,155.662,377.109,259.591,11,11,11,11,1.00
CD7,182.537,7.927,186.784,125.75,2,2,2,2,1.00
LS1,5.369,0.814,6.178,4.121,1159,1159,1159,1159,1.00
LS2,9.086,0.764,8.235,6.029,333,333,333,333,1.00
LS3,750.199,2230.16,3014.794,1998.385,0,0,0,0,1.00
LS4,7.066,1.136,8.369,5.524,3,3,3,3,1.00
LS5,5.089,0.487,4.693,3.424,0,0,0,0,1.00
LS6,5.428,36.672,45.888,29.33,18,0,28,28,0.64
LS7,5.351,1322.349,149.049,492.25,603,0,1620,1620,0.37
LD1,44.313,92.431,45.499,60.748,111,52,195,309,0.36
LD2,8.837,8.534,8.146,8.506,185,185,185,185,1.00
LD3,18.894,77.201,50.1,48.732,50,6,95,162,0.31
LD4,76.248,75.133,68.763,73.382,50,50,50,50,1.00
LD5,13.563,15.126,14.696,14.462,28,28,28,28,1.00
LD6,5.957,56.582,58.543,40.361,39,39,39,39,1.00
LD7,117.045,121.913,124.582,121.181,1216,1216,1216,1216,1.00
LD8,65.712,64.822,60.75,63.762,22,22,22,22,1.00
LD9,2.803,2.718,2.507,2.677,0,0,0,0,1.00
LD10,27.289,26.555,28.166,27.337,3,3,3,3,1.00
LD11,276.789,279.804,273.954,276.85,376,376,376,376,1.00